dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
Cora,GCN,transductive,0,0.8140000104904175,0.8140000104904175,0.8140000104904175,0.7940000295639038,111,0
Cora,GCN,density_control,0,0.8220000267028809,0.8220000267028809,0.8220000267028809,0.7940000295639038,112,0
Cora,GCN,inductive,0,0.8180000185966492,0.8180000185966492,0.8180000185966492,0.7820000052452087,112,0
Cora,GraphSAGE,transductive,0,0.8159999847412109,0.8159999847412109,0.8159999847412109,0.8019999861717224,226,0
Cora,GraphSAGE,density_control,0,0.8100000023841858,0.8100000023841858,0.8100000023841858,0.7699999809265137,110,0
Cora,GraphSAGE,inductive,0,0.8059999942779541,0.8059999942779541,0.8059999942779541,0.7699999809265137,111,0
Cora,MLP,transductive,0,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5720000267028809,124,0
Cora,MLP,density_control,0,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5720000267028809,124,0
Cora,MLP,inductive,0,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5720000267028809,124,0
Cora,LabelProp,transductive,0,0.5820000171661377,0.5820000171661377,0.5820000171661377,0.5640000104904175,0,0
Cora,LabelProp,density_control,0,0.5820000171661377,0.5820000171661377,0.5820000171661377,0.5640000104904175,0,0
Cora,LabelProp,inductive,0,0.5820000171661377,0.5820000171661377,0.5820000171661377,0.5640000104904175,0,0
Cora,GCN,transductive,1,0.8259999752044678,0.8259999752044678,0.8259999752044678,0.7919999957084656,132,0
Cora,GCN,density_control,1,0.8119999766349792,0.8119999766349792,0.8119999766349792,0.7879999876022339,109,0
Cora,GCN,inductive,1,0.8080000281333923,0.8080000281333923,0.8080000281333923,0.7879999876022339,139,0
Cora,GraphSAGE,transductive,1,0.8140000104904175,0.8140000104904175,0.8140000104904175,0.7900000214576721,243,0
Cora,GraphSAGE,density_control,1,0.8100000023841858,0.8100000023841858,0.8100000023841858,0.7839999794960022,188,0
Cora,GraphSAGE,inductive,1,0.7940000295639038,0.7940000295639038,0.7940000295639038,0.7680000066757202,110,0
