dataset,model,seeds,transductive_mean,density_control_mean,inductive_mean,total_inflation_mean,total_inflation_std,density_cost_mean,density_cost_std,test_specific_mean,test_specific_std,total_resolved,density_resolved,test_specific_resolved,status
Cora,GCN,10,0.8129999995231628,0.812199991941452,0.8025000035762787,0.010499995946884156,0.0085796940227237,0.0008000075817108154,0.008403705496413403,0.00969998836517334,0.008832381673467454,True,False,True,measured
Cora,GraphSAGE,10,0.8041999936103821,0.7803999960422516,0.7888000071048736,0.015399986505508423,0.009946527858022162,0.023799997568130494,0.012191062330139162,-0.00840001106262207,0.016056841735131597,True,True,False,measured
Cora,MLP,10,0.5688999891281128,0.5688999891281128,0.5688999891281128,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
Cora,LabelProp,10,0.6029999852180481,0.6029999852180481,0.6029999852180481,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
CiteSeer,GCN,10,0.6924000024795532,0.6800999939441681,0.6854999899864197,0.006900012493133545,0.012031896684914662,0.012300008535385131,0.00959223514546622,-0.005399996042251587,0.014392887009423379,False,True,False,measured
CiteSeer,GraphSAGE,10,0.6851000010967254,0.65660001039505,0.6745999991893769,0.010500001907348632,0.013533910198651352,0.028499990701675415,0.01780917122209929,-0.017999988794326783,0.01763203088534963,True,True,True,measured
CiteSeer,MLP,10,0.5269999980926514,0.5269999980926514,0.5269999980926514,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
CiteSeer,LabelProp,10,0.3659999966621399,0.3659999966621399,0.3659999966621399,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
PubMed,GCN,10,0.7862000107765198,0.7889999985694885,0.7832000136375428,0.0029999971389770507,0.0120000116251214,-0.00279998779296875,0.00828387500676943,0.005799984931945801,0.004871675845902985,False,False,True,measured
PubMed,GraphSAGE,10,0.7679999947547913,0.7739000022411346,0.7673000037670136,0.0006999909877777099,0.011870135094502217,-0.005900007486343384,0.012133035800545982,0.006599998474121094,0.00992415826169942,False,False,True,measured
PubMed,MLP,10,0.725299996137619,0.725299996137619,0.725299996137619,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
PubMed,LabelProp,10,0.41999998688697815,0.41999998688697815,0.41999998688697815,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
